Loading files for NASBench201...
Normalizing ZCP dict
try to create the NAS-Bench-201 api from /home/ya255/projects/flan_hardware/nas_embedding_suite/embedding_datasets/NAS-Bench-201-v1_1-096897.pth
Loaded files in:  160.99514484405518  seconds
Loading cache for NASBench-201 speedup!!...
Loading cache for NASBench-201 speedup!!...
Epoch 134/150 | Train Loss: 0.0304 | Epoch Time: 0.01s | Spearman@80: 0.1324 | Kendall@80: 0.0848
Epoch 135/150 | Train Loss: 0.0938 | Epoch Time: 0.01s | Spearman@80: 0.1380 | Kendall@80: 0.0905
Epoch 136/150 | Train Loss: 0.0339 | Epoch Time: 0.01s | Spearman@80: 0.1557 | Kendall@80: 0.1044
Epoch 137/150 | Train Loss: 0.0304 | Epoch Time: 0.01s | Spearman@80: 0.1553 | Kendall@80: 0.1063
Epoch 138/150 | Train Loss: 0.0927 | Epoch Time: 0.01s | Spearman@80: 0.1454 | Kendall@80: 0.0975
Epoch 139/150 | Train Loss: 0.0041 | Epoch Time: 0.01s | Spearman@80: 0.1498 | Kendall@80: 0.1044
Epoch 140/150 | Train Loss: 0.0696 | Epoch Time: 0.01s | Spearman@80: 0.1537 | Kendall@80: 0.1038
Epoch 141/150 | Train Loss: 0.0073 | Epoch Time: 0.01s | Spearman@80: 0.1527 | Kendall@80: 0.1038
Epoch 142/150 | Train Loss: 0.0068 | Epoch Time: 0.01s | Spearman@80: 0.1486 | Kendall@80: 0.1013
Epoch 143/150 | Train Loss: 0.0040 | Epoch Time: 0.01s | Spearman@80: 0.1408 | Kendall@80: 0.0968
Epoch 144/150 | Train Loss: 0.0932 | Epoch Time: 0.01s | Spearman@80: 0.1359 | Kendall@80: 0.0949
Epoch 145/150 | Train Loss: 0.0315 | Epoch Time: 0.01s | Spearman@80: 0.1343 | Kendall@80: 0.0975
Epoch 146/150 | Train Loss: 0.0924 | Epoch Time: 0.01s | Spearman@80: 0.1241 | Kendall@80: 0.0905
Epoch 147/150 | Train Loss: 0.0922 | Epoch Time: 0.13s | Spearman@15620: 0.1968 | Kendall@15620: 0.1325
Epoch 148/150 | Train Loss: 0.0315 | Epoch Time: 0.16s | Spearman@15620: 0.1942 | Kendall@15620: 0.1306
Epoch 149/150 | Train Loss: 0.0066 | Epoch Time: 0.13s | Spearman@15620: 0.1938 | Kendall@15620: 0.1305
Epoch 150/150 | Train Loss: 0.0931 | Epoch Time: 0.13s | Spearman@15620: 0.1828 | Kendall@15620: 0.1229
Sample Count: 4, Spearman: 0.19189080388834834, Kendall: 0.12913101663484616
{4: (0.19189080388834834, 0.12913101663484616)}
Epoch 1/150 | Train Loss: 0.0988 | Epoch Time: 0.01s | Spearman@80: 0.1392 | Kendall@80: 0.0880
Epoch 2/150 | Train Loss: 0.5027 | Epoch Time: 0.01s | Spearman@80: 0.1391 | Kendall@80: 0.0867
Epoch 3/150 | Train Loss: 0.3746 | Epoch Time: 0.01s | Spearman@80: -0.1360 | Kendall@80: -0.0848
Epoch 4/150 | Train Loss: 0.1947 | Epoch Time: 0.01s | Spearman@80: -0.1402 | Kendall@80: -0.0905
Epoch 5/150 | Train Loss: 0.1797 | Epoch Time: 0.01s | Spearman@80: 0.1381 | Kendall@80: 0.0873
Epoch 6/150 | Train Loss: 0.1690 | Epoch Time: 0.01s | Spearman@80: -0.1452 | Kendall@80: -0.0897
Epoch 7/150 | Train Loss: 0.1564 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0880
Epoch 8/150 | Train Loss: 0.1523 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 9/150 | Train Loss: 0.0839 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 10/150 | Train Loss: 0.0956 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 11/150 | Train Loss: 0.0983 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 12/150 | Train Loss: 0.0712 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 13/150 | Train Loss: 0.1527 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0880
Epoch 14/150 | Train Loss: 0.1035 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 15/150 | Train Loss: 0.0932 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 16/150 | Train Loss: 0.0788 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0880
Epoch 17/150 | Train Loss: 0.1454 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 18/150 | Train Loss: 0.0999 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 19/150 | Train Loss: 0.0835 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 20/150 | Train Loss: 0.0743 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 21/150 | Train Loss: 0.0662 | Epoch Time: 0.01s | Spearman@80: 0.1403 | Kendall@80: 0.0886
Epoch 22/150 | Train Loss: 0.0813 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0880
Epoch 23/150 | Train Loss: 0.0409 | Epoch Time: 0.01s | Spearman@80: 0.1393 | Kendall@80: 0.0880
Epoch 24/150 | Train Loss: 0.0659 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 25/150 | Train Loss: 0.0743 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 26/150 | Train Loss: 0.0965 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 27/150 | Train Loss: 0.1393 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 28/150 | Train Loss: 0.1149 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 29/150 | Train Loss: 0.0700 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
Epoch 30/150 | Train Loss: 0.1298 | Epoch Time: 0.01s | Spearman@80: 0.1385 | Kendall@80: 0.0873
